classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_AdaptiveEnsemble,MixedShapesSmallTrain,100,2425,1024,5,75,24,27280,2.9181,36.8793,15.208,85.32,0.962062,0.961059,-0.106792
WEASEL2_AdaptiveEnsemble,MoteStrain,20,1252,84,2,25,24,8519,0.214,0.5508,0.44,5.58,0.958466,0.957581,-0.321538
WEASEL2_AdaptiveEnsemble,NonInvasiveFetalECGThorax1,1800,1965,750,42,75,84,35431,30.7226,21.4989,10.9409,1949.28,0.922137,0.92091,-0.03233
WEASEL2_AdaptiveEnsemble,NonInvasiveFetalECGThorax2,1800,1965,750,42,75,84,35443,29.6088,22.4465,11.4232,1949.94,0.946565,0.944703,-0.024842
WEASEL2_AdaptiveEnsemble,OSULeaf,200,242,427,6,50,24,20586,1.8877,0.9327,3.8542,126.64,0.966942,0.952899,-0.103626
WEASEL2_AdaptiveEnsemble,OliveOil,30,30,570,4,50,24,13419,0.7561,0.1859,6.1976,13.31,0.966667,0.979167,-0.266683
WEASEL2_AdaptiveEnsemble,PhalangesOutlinesCorrect,1800,858,80,2,25,44,10385,3.4433,0.4643,0.5412,570.92,0.824009,0.795919,-0.452397
WEASEL2_AdaptiveEnsemble,Phoneme,214,1896,1024,39,75,24,26837,5.2501,28.3207,14.9371,177.46,0.353376,0.190194,-0.0967
WEASEL2_AdaptiveEnsemble,PigAirwayPressure,104,208,2000,52,75,24,29464,5.0994,5.8604,28.1749,104.92,0.908654,0.908654,-0.064479
WEASEL2_AdaptiveEnsemble,PigArtPressure,104,208,2000,52,75,24,28677,4.9526,5.294,25.4518,107.2,0.985577,0.985577,-0.032185
WEASEL2_AdaptiveEnsemble,PigCVP,104,208,2000,52,75,24,29893,4.5094,5.5268,26.5711,110.26,0.951923,0.951923,-0.044797
WEASEL2_AdaptiveEnsemble,Plane,105,105,144,7,50,24,18804,0.8019,0.1578,1.5031,61.0,1.0,1.0,-0.008798
WEASEL2_AdaptiveEnsemble,PowerCons,180,180,144,2,25,24,9907,0.5556,0.1383,0.7685,54.84,0.933333,0.933333,-0.269498
WEASEL2_AdaptiveEnsemble,ProximalPhalanxOutlineAgeGroup,400,205,80,3,50,44,13179,1.6025,0.1859,0.907,161.55,0.858537,0.798414,-0.29583
WEASEL2_AdaptiveEnsemble,ProximalPhalanxOutlineCorrect,600,291,80,2,25,44,7587,1.1428,0.1348,0.4633,139.31,0.886598,0.838185,-0.363572
WEASEL2_AdaptiveEnsemble,ProximalPhalanxTW,400,205,80,6,50,44,13111,1.6105,0.1853,0.904,160.73,0.814634,0.522193,-0.167753
WEASEL2_AdaptiveEnsemble,RefrigerationDevices,375,375,720,3,75,84,33848,6.707,4.0793,10.878,389.16,0.554667,0.554667,-0.353358
WEASEL2_AdaptiveEnsemble,Rock,20,50,2844,4,75,24,27440,2.1516,1.8249,36.4983,24.75,0.88,0.904762,-0.36711
