classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_r25,Adiac,4.4664,0.9694,-3.497,1.8395,0.3222,-1.5173,4.7045,0.8241,-3.8804,558.83,106.14,-452.69,0.84399,0.84399,0.0,0.853155,0.847731,-0.005424,-0.045617,-0.051477,-0.00586,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r25,ArrowHead,0.4151,0.2617,-0.1534,0.3597,0.2004,-0.1593,2.0553,1.145,-0.9103,21.63,10.47,-11.16,0.857143,0.874286,0.017143,0.864643,0.882053,0.01741,-0.315629,-0.313307,0.002322,IMAGE,small (n<100),short (<200),mid (3-9)
WEASEL2_r25,Coffee,0.7606,0.2499,-0.5107,0.1059,0.0382,-0.0677,3.7823,1.3652,-2.4171,14.86,7.04,-7.82,1.0,1.0,0.0,1.0,1.0,0.0,-0.114697,-0.111743,0.002954,SPECTRO,small (n<100),medium (200-800),binary (2)
WEASEL2_r25,Crop,76.6869,46.1015,-30.5854,18.2702,5.7843,-12.4859,1.0875,0.3443,-0.7432,9836.25,2594.54,-7241.71,0.760655,0.730298,-0.030357,0.760655,0.730298,-0.030357,-0.067833,-0.074169,-0.006336,IMAGE,large (n>500),short (<200),many (10+)
WEASEL2_r25,DistalPhalanxOutlineCorrect,3.8549,1.1759,-2.679,0.5825,0.1328,-0.4497,2.1103,0.481,-1.6293,703.61,189.91,-513.7,0.775362,0.793478,0.018116,0.75528,0.777019,0.021739,-0.403738,-0.412742,-0.009004,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_r25,EOGHorizontalSignal,16.2202,3.3553,-12.8649,11.2615,2.1368,-9.1247,31.109,5.9028,-25.2062,631.6,291.17,-340.43,0.61326,0.588398,-0.024862,0.613666,0.589294,-0.024372,-0.109162,-0.123786,-0.014624,EOG,medium (100-500),long (>800),many (10+)
WEASEL2_r25,ElectricDevices,127.9803,85.3042,-42.6761,14.0645,3.9982,-10.0663,1.824,0.5185,-1.3055,11924.99,3383.73,-8541.26,0.772014,0.759694,-0.01232,0.670491,0.652781,-0.01771,-0.113122,-0.126608,-0.013486,DEVICE,large (n>500),short (<200),mid (3-9)
WEASEL2_r25,FiftyWords,7.0616,1.3002,-5.7614,2.9465,0.5121,-2.4344,6.4757,1.1255,-5.3502,736.45,149.61,-586.84,0.832967,0.837363,0.004396,0.729409,0.7351,0.005691,-0.036047,-0.037757,-0.00171,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r25,Fish,1.4339,0.8532,-0.5807,0.8229,0.3427,-0.4802,4.7023,1.958,-2.7443,99.75,47.28,-52.47,0.988571,0.977143,-0.011428,0.988946,0.977279,-0.011667,-0.091011,-0.099054,-0.008043,IMAGE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_r25,FordA,82.469,18.3483,-64.1207,14.6704,2.7332,-11.9372,11.114,2.0706,-9.0434,6327.14,1402.27,-4924.87,0.960606,0.959091,-0.001515,0.960711,0.959242,-0.001469,-0.216579,-0.222213,-0.005634,SENSOR,large (n>500),medium (200-800),binary (2)
WEASEL2_r25,GunPoint,0.4573,0.2677,-0.1896,0.2334,0.115,-0.1184,1.5563,0.7665,-0.7898,27.89,13.34,-14.55,1.0,1.0,0.0,1.0,1.0,0.0,-0.077205,-0.074953,0.002252,MOTION,small (n<100),short (<200),binary (2)
