classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_r75,Crop,7200,16800,46,24,32527,68.876,15.7176,0.9356,7150.72,0.757619,0.757619,-0.068659
WEASEL2_r75,DistalPhalanxOutlineCorrect,600,276,80,2,28176,3.5563,0.3966,1.4371,516.92,0.778986,0.762112,-0.404318
WEASEL2_r75,EOGHorizontalSignal,362,362,1250,12,35473,10.1315,7.1883,19.857,394.35,0.604972,0.605877,-0.115999
WEASEL2_r75,ElectricDevices,8926,7711,96,7,31625,116.737,11.156,1.4468,8616.7,0.76955,0.667755,-0.116
WEASEL2_r75,FiftyWords,450,455,270,50,31408,3.8482,1.4846,3.2628,432.92,0.832967,0.7349,-0.036757
WEASEL2_r75,Fish,175,175,463,7,25844,2.4902,0.9962,5.6924,139.45,0.982857,0.982993,-0.088212
WEASEL2_r75,FordA,3601,1320,500,2,36530,48.5995,8.5866,6.505,4016.07,0.960606,0.960663,-0.219459
WEASEL2_r75,GunPoint,50,150,150,2,24932,0.7715,0.3157,2.1043,39.08,1.0,1.0,-0.078627
WEASEL2_r75,Haptics,155,308,1092,5,29569,4.1452,4.3473,14.1145,142.04,0.493506,0.491723,-0.530654
WEASEL2_r75,HouseTwenty,40,119,2000,2,28990,2.2797,3.0349,25.5035,44.22,0.957983,0.95,-0.1492
WEASEL2_r75,InlineSkate,100,550,1882,7,29680,4.376,12.9213,23.4933,93.69,0.454545,0.458783,-0.448027
WEASEL2_r75,ItalyPowerDemand,67,1029,24,2,20475,0.7472,0.4978,0.4838,42.77,0.959184,0.959144,-0.194124
WEASEL2_r75,MiddlePhalanxTW,399,154,80,6,21510,2.6352,0.2192,1.4237,262.89,0.558442,0.388478,-0.305207
WEASEL2_r75,Phoneme,214,1896,1024,39,26837,4.9408,25.5988,13.5015,177.46,0.353376,0.190194,-0.0967
WEASEL2_r75,Rock,20,50,2844,4,27440,2.0772,1.7727,35.4545,27.45,0.88,0.904762,-0.36711
WEASEL2_r75,SonyAIBORobotSurface1,20,601,70,2,24787,0.5444,0.6137,1.0211,16.07,0.930116,0.938295,-0.298896
WEASEL2_r75,SwedishLeaf,500,625,128,15,35123,3.1034,0.9784,1.5654,537.15,0.976,0.976839,-0.045596
WEASEL2_r75,UWaveGestureLibraryX,896,3582,315,8,32232,7.8583,16.1457,4.5074,882.76,0.845338,0.843718,-0.161944
