classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,n_features_baseline,n_features_new,n_features_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_AdaptiveEnsemble,GunPoint,0.4573,0.3052,-0.1521,0.2334,0.1256,-0.1078,1.5563,0.8371,-0.7192,27.89,13.34,-14.55,1.0,1.0,0.0,1.0,1.0,0.0,-0.077205,-0.074953,0.002252,17828.0,8479.0,-9349.0,MOTION,small (n<100),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,GunPointAgeSpan,0.7483,0.4818,-0.2665,0.5745,0.2498,-0.3247,1.8179,0.7904,-1.0275,71.87,34.05,-37.82,1.0,1.0,0.0,1.0,1.0,0.0,-0.059993,-0.07109,-0.011097,17278.0,8166.0,-9112.0,MOTION,medium (100-500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,GunPointMaleVersusFemale,1.0831,0.4781,-0.605,0.6662,0.2754,-0.3908,2.1083,0.8714,-1.2369,70.93,33.84,-37.09,0.996835,0.996835,0.0,0.996988,0.996988,0.0,-0.034384,-0.034344,4e-05,17049.0,8116.0,-8933.0,MOTION,medium (100-500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,GunPointOldVersusYoung,0.7589,0.4799,-0.279,0.582,0.243,-0.339,1.8476,0.7715,-1.0761,72.16,34.52,-37.64,0.993651,0.990476,-0.003175,0.993333,0.99,-0.003333,-0.060537,-0.056781,0.003756,17222.0,8220.0,-9002.0,MOTION,medium (100-500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,Ham,1.0422,0.6276,-0.4146,0.5509,0.2246,-0.3263,5.2463,2.1391,-3.1072,66.91,32.27,-34.64,0.761905,0.761905,0.0,0.761438,0.761438,0.0,-0.32257,-0.334223,-0.011653,19835.0,9544.0,-10291.0,SPECTRO,medium (100-500),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,HandOutlines,88.1862,60.9571,-27.2291,23.9071,15.2765,-8.6306,64.6138,41.2877,-23.3261,1713.6,1024.02,-689.58,0.959459,0.945946,-0.013513,0.950208,0.93306,-0.017148,-0.238304,-0.24319,-0.004886,55894.0,33368.0,-22526.0,IMAGE,large (n>500),long (>800),binary (2)
WEASEL2_AdaptiveEnsemble,Haptics,2.248,4.6242,2.3762,2.6205,5.1931,2.5726,8.508,16.8609,8.3529,101.61,142.04,40.43,0.49026,0.493506,0.003246,0.490125,0.491723,0.001598,-0.529634,-0.530654,-0.00102,21174.0,29569.0,8395.0,MOTION,medium (100-500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Herring,0.7393,0.4848,-0.2545,0.41,0.1691,-0.2409,6.4063,2.6422,-3.7641,37.2,17.97,-19.23,0.671875,0.671875,0.0,0.620445,0.6083,-0.012145,-0.939458,-0.925581,0.013877,18544.0,8916.0,-9628.0,IMAGE,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,HouseTwenty,1.3029,2.6934,1.3905,1.8397,3.2679,1.4282,15.4599,27.4612,12.0013,34.83,38.58,3.75,0.966387,0.957983,-0.008404,0.96,0.95,-0.01,-0.147795,-0.1492,-0.001405,20846.0,28990.0,8144.0,DEVICE,small (n<100),long (>800),binary (2)
WEASEL2_AdaptiveEnsemble,InlineSkate,2.5138,5.1975,2.6837,8.0122,14.8875,6.8753,14.5677,27.0681,12.5004,84.85,99.99,15.14,0.443636,0.454545,0.010909,0.449845,0.458783,0.008938,-0.444079,-0.448027,-0.003948,21267.0,29680.0,8413.0,MOTION,small (n<100),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,InsectEPGRegularTrain,0.8471,1.096,0.2489,1.1264,1.4971,0.3707,4.5238,6.0123,1.4885,40.94,40.99,0.05,1.0,1.0,0.0,1.0,1.0,0.0,-0.015226,-0.015226,0.0,21075.0,21075.0,0.0,EPG,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,InsectEPGSmallTrain,0.494,0.6623,0.1683,1.2805,1.4762,0.1957,5.1427,5.9286,0.7859,11.89,11.93,0.04,0.983936,0.983936,0.0,0.985019,0.985019,0.0,-0.078519,-0.079164,-0.000645,20877.0,20877.0,0.0,EPG,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,InsectWingbeatSound,1.3368,1.7475,0.4107,4.1051,5.2926,1.1875,2.0733,2.673,0.5997,130.1,130.14,0.04,0.637879,0.637374,-0.000505,0.637879,0.637374,-0.000505,-0.217569,-0.217507,6.2e-05,19255.0,19255.0,0.0,SOUND,medium (100-500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,ItalyPowerDemand,0.4147,0.2569,-0.1578,0.472,0.2035,-0.2685,0.4587,0.1978,-0.2609,30.35,14.77,-15.58,0.959184,0.95724,-0.001944,0.959144,0.957189,-0.001955,-0.190887,-0.190609,0.000278,14566.0,7054.0,-7512.0,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,LargeKitchenAppliances,12.4426,9.7433,-2.6993,7.8495,5.2121,-2.6374,20.9321,13.899,-7.0331,645.58,389.32,-256.26,0.810667,0.792,-0.018667,0.810667,0.792,-0.018667,-0.292627,-0.335534,-0.042907,56127.0,33862.0,-22265.0,DEVICE,medium (100-500),medium (200-800),mid (3-9)
